회계연도,예산구분,분야명,부문명,위원회명,정책사업명,단위사업명,회계코드,회계명,세부사업명,자체보조구분명,부서명,편성목,편성목명,통계목,통계목명,의무/재량구분,산출근거명,산출근거식,예산액,기정액,비교증감,국고보조금,Unnamed: 23,Unnamed: 24,균특보조금,Unnamed: 26,Unnamed: 27,기금보조금,Unnamed: 29,Unnamed: 30,특별교부세,Unnamed: 32,Unnamed: 33,분권교부세,Unnamed: 35,Unnamed: 36,광역보조금,Unnamed: 38,Unnamed: 39,재정보전금,Unnamed: 41,Unnamed: 42,특별조정교부금,Unnamed: 44,Unnamed: 45,자체재원,Unnamed: 47,Unnamed: 48,지방채,Unnamed: 50,Unnamed: 51,기타,Unnamed: 53,Unnamed: 54,예산액_num,기정액_num,비교증감_num,국고보조금_num,균특보조금_num,기금보조금_num,특별교부세_num,광역보조금_num,특별조정교부금_num,자체재원_num,예산액_원,예산액_억원,기정액_억원,비교증감_억원
2025,본예산,일반공공행정,일반행정,자치행정위원회,시민소통강화,시민소통활성화 및 조정 추진,100.0,일반회계,시민 소통 추진,자체,시민소통관,203.0,업무추진비,203-03,시책추진업무추진비,법정의무,Ο시민 소통현장 업무추진,"2,700,000원","2,700",0,"2,700",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,700",0,"2,700",0,0,0,0,0,0,2700,0,2700,0,0,0,0,0,0,2700,2700000.0,0.027,0.0,0.027
2025,본예산,일반공공행정,일반행정,자치행정위원회,시민소통강화,시민소통활성화 및 조정 추진,100.0,일반회계,갈등관리 역량강화 교육,자체,시민소통관,201.0,일반운영비,201-01,사무관리비,재량,Ο갈등관리교육,"2,648,000원*2회","5,296",0,"5,296",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5,296",0,"5,296",0,0,0,0,0,0,5296,0,5296,0,0,0,0,0,0,5296,5296000.0,0.05296,0.0,0.05296
2025,본예산,일반공공행정,일반행정,자치행정위원회,시민소통강화,시민소통활성화 및 조정 추진,100.0,일반회계,갈등민원 관리 및 조정,자체,시민소통관,201.0,일반운영비,201-01,사무관리비,재량,Ο갈등관리심의위원회 참석수당,"100,000원*14명*2회","2,800",0,"2,800",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,800",0,"2,800",0,0,0,0,0,0,2800,0,2800,0,0,0,0,0,0,2800,2800000.0,0.028,0.0,0.028
2025,본예산,일반공공행정,일반행정,자치행정위원회,시민소통강화,시민소통활성화 및 조정 추진,100.0,일반회계,갈등민원 관리 및 조정,자체,시민소통관,201.0,일반운영비,201-01,사무관리비,재량,Ο갈등조정 자문료,"100,000원*2명*3시간*12회","7,200",0,"7,200",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"7,200",0,"7,200",0,0,0,0,0,0,7200,0,7200,0,0,0,0,0,0,7200,7200000.0,0.072,0.0,0.072
2025,본예산,일반공공행정,일반행정,자치행정위원회,시민소통강화,시민소통활성화 및 조정 추진,100.0,일반회계,갈등민원 관리 및 조정,자체,시민소통관,202.0,여비,202-01,국내여비,재량,Ο공공갈등관리 조정,"10,000원*1명*8일*12월",960,0,960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,960,0,960,0,0,0,0,0,0,960,0,960,0,0,0,0,0,0,960,960000.0,0.0096,0.0,0.0096
2025,본예산,일반공공행정,일반행정,자치행정위원회,시민소통강화,시민소통활성화 및 조정 추진,100.0,일반회계,갈등민원 관리 및 조정,자체,시민소통관,203.0,업무추진비,203-03,시책추진업무추진비,법정의무,Ο갈등관리 조정 업무추진,"3,600,000원","3,600",0,"3,600",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,600",0,"3,600",0,0,0,0,0,0,3600,0,3600,0,0,0,0,0,0,3600,3600000.0,0.036,0.0,0.036
2025,본예산,일반공공행정,일반행정,자치행정위원회,시민소통강화,시민소통활성화 및 조정 추진,100.0,일반회계,민관협치 기반조성 추진,자체,시민소통관,201.0,일반운영비,201-01,사무관리비,재량,Ο위원회 참석수당,"100,000원*15명*8회","12,000",0,"12,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"12,000",0,"12,000",0,0,0,0,0,0,12000,0,12000,0,0,0,0,0,0,12000,12000000.0,0.12,0.0,0.12
2025,본예산,일반공공행정,일반행정,자치행정위원회,시민소통강화,시민소통활성화 및 조정 추진,100.0,일반회계,민관협치 기반조성 추진,자체,시민소통관,201.0,일반운영비,201-01,사무관리비,재량,Ο협치 홍보 및 운영,"8,000,000원","8,000",0,"8,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"8,000",0,"8,000",0,0,0,0,0,0,8000,0,8000,0,0,0,0,0,0,8000,8000000.0,0.08,0.0,0.08
2025,본예산,일반공공행정,일반행정,자치행정위원회,시민소통강화,시민소통활성화 및 조정 추진,100.0,일반회계,민관협치 기반조성 추진,자체,시민소통관,201.0,일반운영비,201-01,사무관리비,재량,Ο공무원 협치교육,"3,500,000원","3,500",0,"3,500",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,500",0,"3,500",0,0,0,0,0,0,3500,0,3500,0,0,0,0,0,0,3500,3500000.0,0.035,0.0,0.035
2025,본예산,일반공공행정,일반행정,자치행정위원회,시민소통강화,시민소통활성화 및 조정 추진,100.0,일반회계,민관협치 기반조성 추진,자체,시민소통관,201.0,일반운영비,201-03,행사운영비,-,Ο협치교육,-,"13,000",0,"13,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"13,000",0,"13,000",0,0,0,0,0,0,13000,0,13000,0,0,0,0,0,0,13000,13000000.0,0.13,0.0,0.13
